,log,ada,rf,rsf_new,cox_new
0,0.492904661,0.530817915,0.588839349,0.5,0.519344859
1,0.493453332,0.521858631,0.5688108,0.5,0.484356356
2,0.497912048,0.534483525,0.578682894,0.5,0.494109712
3,0.491583654,0.524379043,0.577202491,0.5,0.503151967
4,0.490471745,0.53399051,0.589580757,0.5,0.490140327
5,0.499540437,0.526544588,0.586571657,0.5,0.5
6,0.518926912,0.497029427,0.563296376,0.5,0.5
7,0.51172443,0.52049935,0.581830007,0.5,0.476023757
8,0.502404713,0.503597953,0.559731896,0.5,0.513640213
9,0.49105367,0.52817375,0.571192898,0.5,0.495898502
10,0.494709272,0.518170482,0.582609608,0.5,0.520840059
11,0.495364546,0.507392052,0.579181919,0.5,0.51442613
12,0.488564415,0.510224377,0.577856567,0.5,0.5
13,0.481517533,0.526172533,0.578069348,0.5,0.494586598
14,0.510546193,0.524214674,0.590805281,0.5,0.4979296
15,0.504374268,0.532375641,0.578838849,0.5,0.501685053
16,0.50980309,0.502816887,0.588671895,0.5,0.489409675
17,0.493958342,0.506528872,0.575901296,0.5,0.501921565
18,0.493248727,0.51639566,0.586577403,0.5,0.485998781
19,0.487517267,0.506023633,0.582605191,0.5,0.5
20,0.495176034,0.512780418,0.567237389,0.5,0.481698945
21,0.504558068,0.517829645,0.563482982,0.5,0.507726617
22,0.504456414,0.509311715,0.580541637,0.5,0.517337906
23,0.491441921,0.524782517,0.579238892,0.5,0.504153957
24,0.484190929,0.498433026,0.568773197,0.5,0.500797622
25,0.518112707,0.509601466,0.592171035,0.5,0.49259113
26,0.501134924,0.514632731,0.583027285,0.5,0.508504347
27,0.500392276,0.537440097,0.583341421,0.5,0.501524618
28,0.492687764,0.50012219,0.586293673,0.5,0.496733175
29,0.502044102,0.527965061,0.577976288,0.5,0.520011166
30,0.497583542,0.497538943,0.582613667,0.5,0.516450969
31,0.491021532,0.505847971,0.565335498,0.5,0.5
32,0.497453359,0.519610049,0.571472147,0.5,0.497524296
33,0.497637131,0.529139359,0.56429687,0.5,0.494467134
34,0.506415416,0.509184906,0.576296144,0.5,0.478171854
35,0.506131816,0.520676159,0.584700006,0.5,0.5
36,0.506339096,0.521340613,0.571118188,0.5,0.5
37,0.497793822,0.529076477,0.585613455,0.5,0.507483623
38,0.50806761,0.519434137,0.57153644,0.5,0.5
39,0.508741643,0.497675685,0.571981163,0.5,0.465867358
40,0.495211908,0.506222597,0.573681783,0.5,0.5
41,0.49065799,0.509602548,0.573558608,0.5,0.494345918
42,0.489524929,0.495707237,0.587540147,0.5,0.503972604
43,0.506941046,0.526811609,0.567003742,0.5,0.484154111
44,0.500822294,0.498837866,0.577477652,0.5,0.502762219
45,0.497502671,0.524332043,0.573696956,0.5,0.506492247
46,0.478618172,0.498587888,0.584963277,0.5,0.480138442
47,0.4966697,0.525744616,0.57187342,0.5,0.492407239
48,0.494402286,0.505579477,0.581669892,0.5,0.506392033
49,0.489805785,0.519640982,0.569230442,0.5,0.500071812
,0.478618172,0.495707237,0.559731896,0.5,0.465867358
,0.518926912,0.537440097,0.592171035,0.5,0.520840059
,0.498022323,0.515703591,0.577491996,0.5,0.49890489
,0.002427569,0.003321299,0.002288043,#NUM!,0.003257641
