x0,x1,pre,true_h
-0.541909916,0.730505353,0.60782075,0.630299293
-0.86690694,-0.464341603,0.60695213,0.619377681
-0.745795756,-0.721698197,0.60063004,0.610925719
0.800785406,-0.942097014,0.60003173,0.577383865
0.395408812,0.075912222,0.6145275,0.684948724
0.737709397,0.115869559,0.6108514,0.651907523
0.580411873,0.039202294,0.6101562,0.670018942
0.151329708,-0.54357471,0.6110037,0.671699495
0.06198695,0.583234927,0.61333305,0.66955088
-0.788825645,-0.358835438,0.60935014,0.636339186
0.562835511,0.311349184,0.6068039,0.663741365
-0.872546998,-0.665563214,0.60538447,0.601284829
-0.103139073,-0.638638405,0.6093228,0.66334535
-0.379464284,-0.290062198,0.61328596,0.679319578
-0.487648307,0.509710437,0.6077314,0.656818109
0.484542719,-0.934701047,0.5997972,0.608533441
0.67814372,-0.342134723,0.6127354,0.650337166
0.961630521,-0.914378496,0.5957863,0.560878984
0.499155848,-0.713484232,0.6067301,0.635766139
0.586733188,-0.460300964,0.60572416,0.652030427
0.140359232,0.642865321,0.6116986,0.662145793
0.373695577,0.624868685,0.60538226,0.654154899
0.500383612,0.828082635,0.60239345,0.621785236
-0.479251784,0.799809466,0.6022096,0.62699317
-0.855533882,0.674364084,0.6068542,0.602609678
0.574803706,-0.410200442,0.605844,0.656731242
-0.822318842,-0.386792573,0.6101057,0.630416513
-0.091991684,-0.129011292,0.61402506,0.696779867
0.240129655,0.113164627,0.6144186,0.692840122
0.810344775,0.707587617,0.602352,0.604825791
-0.628704374,-0.816986941,0.6013802,0.612020466
0.917629555,0.44233734,0.6029379,0.613938364
0.848087051,0.267985342,0.6051996,0.63316076
0.787607897,-0.140766536,0.6051791,0.645219231
-0.75504265,-0.828037962,0.5998155,0.597432194
0.845667375,-0.452044644,0.6012902,0.62307732
0.392114191,-0.571295128,0.60358715,0.658254327
0.629373507,-0.934815309,0.59588736,0.596368637
0.79726016,-0.834186418,0.5933208,0.591801625
-0.64414344,-0.521033363,0.60831547,0.641499408
0.195668434,0.279876689,0.6140792,0.688854926
0.283997314,-0.477673211,0.6126325,0.672501645
-0.88057463,0.077649812,0.6059953,0.633923118
-0.531175334,0.254440444,0.61405116,0.669309733
-0.505100111,-0.174168881,0.6102432,0.674468662
-0.368707982,0.650888556,0.5994783,0.651747778
0.17334212,0.343217882,0.61360806,0.686171145
0.785695041,0.951845839,0.5963507,0.577779281
0.05878795,-0.825429484,0.60279846,0.641628257
0.118373521,0.615816139,0.60402566,0.665442746
-0.328336536,-0.118151995,0.6142757,0.688411818
0.415504185,0.612153953,0.60754895,0.652744515
0.552329506,0.237897531,0.61069137,0.668074664
0.263756898,-0.676955756,0.604584,0.654340743
-0.107351003,-0.892848556,0.60375315,0.631766574
0.448846823,0.314129005,0.61252606,0.673232182
-0.325225402,-0.466732626,0.60785484,0.671259948
-0.06066482,-0.385650518,0.6137136,0.685780092
-0.616688616,-0.590223406,0.61216456,0.638118667
-0.351900991,0.976503678,0.6045326,0.610900203
0.640265012,-0.74168814,0.59679854,0.619927637
0.585761088,-0.604189952,0.610182,0.6397565
0.055539496,0.700387005,0.60239345,0.657144876
0.556286317,0.001919385,0.6099433,0.672448521
-0.889581019,0.34775007,0.6049881,0.623639369
0.705947833,-0.83058364,0.61013263,0.602494712
-0.652098309,0.14576381,0.6131661,0.661029136
-0.430049159,0.278197079,0.6140744,0.676421121
0.606415916,-0.497570065,0.6028418,0.647224551
0.547991902,-0.121191183,0.60747325,0.671984333
-0.610225093,0.073254249,0.614237,0.666733371
-0.203974199,-0.939220443,0.6007525,0.622746955
0.479526213,-0.872644763,0.6041933,0.617498133
0.56134806,-0.441896348,0.6074753,0.655769809
-0.003660312,-0.016701098,0.6143458,0.698944464
0.168149878,0.466544752,0.6140995,0.677808995
0.654582114,-0.394306174,0.60458845,0.649766743
0.055684357,-0.524059116,0.6092121,0.675120026
-0.42761,0.807606434,0.6017746,0.629687095
-0.412951458,-0.187805016,0.6143415,0.681218343
0.434053343,-0.97718899,0.60509133,0.605888061
0.959583723,0.496425773,0.6015371,0.604077738
0.979407826,-0.005257321,0.6049104,0.61998756
0.204549149,-0.219575531,0.61111647,0.691146013
0.821838779,-0.307362968,0.6123547,0.634839022
-0.394490012,-0.08161836,0.6141012,0.684933901
0.968520413,-0.563515652,0.59676194,0.597443739
