,log,ada,rf,rsf,cox,WAFT
0,0.211052096,0.397183099,0.206345634,0.194211345,0.215725731,0.207428046
1,0.202564606,0.343661972,0.194089577,0.175764685,0.202872908,0.193972145
2,0.212910323,0.369014085,0.210179155,0.191931723,0.208847105,0.2048428
3,0.217211338,0.385915493,0.21305831,0.19748871,0.209683302,0.215962631
4,0.211565771,0.38028169,0.213065634,0.189563266,0.206241202,0.22102025
5,0.212116307,0.397183099,0.211591549,0.190726183,0.206987953,0.214446012
6,0.20152058,0.366197183,0.197290704,0.166229731,0.193971382,0.20710168
7,0.208570627,0.371830986,0.203823944,0.17396509,0.199389192,0.207827289
8,0.218901394,0.414084507,0.213141127,0.192088382,0.221246667,0.214724537
9,0.20832431,0.414084507,0.20460169,0.173192739,0.198295892,0.208366067
10,0.207824849,0.374647887,0.198505915,0.180197863,0.205486113,0.201717649
11,0.216079087,0.38028169,0.207670141,0.18536682,0.209594135,0.230308236
12,0.207587526,0.363380282,0.205754085,0.182256929,0.203720659,0.210624601
13,0.212379305,0.315492958,0.204636338,0.194140413,0.211085907,0.205918981
14,0.202590256,0.36056338,0.194367887,0.174984139,0.203938312,0.198529666
15,0.214730959,0.394366197,0.208484225,0.173865567,0.200641742,0.214559531
16,0.209772326,0.377464789,0.19757831,0.176794082,0.200172607,0.205333222
17,0.2108125,0.332394366,0.199345352,0.182075408,0.209504776,0.204921052
18,0.20943533,0.366197183,0.203621972,0.184924456,0.205246925,0.208249175
19,0.212926433,0.405633803,0.21179493,0.198563088,0.211602412,0.214590037
20,0.209445644,0.397183099,0.207595211,0.182018392,0.196795801,0.224254645
21,0.210010179,0.315492958,0.201729014,0.167637686,0.200295568,0.201789267
22,0.223851648,0.38028169,0.210253521,0.184631563,0.214483364,0.228076098
23,0.21191578,0.414084507,0.209054648,0.193480599,0.209099638,0.199609722
24,0.211387741,0.38028169,0.199031831,0.171699277,0.206492475,0.209918159
25,0.220026069,0.338028169,0.209230704,0.188813221,0.21372153,0.227649555
26,0.213069952,0.377464789,0.221717465,0.202531727,0.206301917,0.215802879
27,0.201552338,0.4,0.202742817,0.187045317,0.196877532,0.205151749
28,0.219080254,0.374647887,0.216732113,0.191739407,0.206416508,0.212966951
29,0.225674499,0.374647887,0.220011268,0.193652648,0.223659667,0.213796393
30,0.209573574,0.38028169,0.200626479,0.189813287,0.206802466,0.196021222
31,0.217696584,0.385915493,0.208349577,0.18931463,0.210325272,0.216462912
32,0.206466309,0.397183099,0.204158592,0.181194688,0.201001789,0.201183494
33,0.210870884,0.363380282,0.213143662,0.184459284,0.202865239,0.215772367
34,0.201270229,0.377464789,0.19670338,0.187595037,0.197582195,0.202856713
35,0.225975419,0.374647887,0.222977746,0.189387201,0.208366339,0.231385281
36,0.218938999,0.369014085,0.213392676,0.18760125,0.212935481,0.225119759
37,0.209460088,0.397183099,0.205436338,0.186980602,0.205991246,0.202472497
38,0.208118481,0.433802817,0.212507606,0.184318531,0.203523885,0.207710541
39,0.210953012,0.36056338,0.204914648,0.18541855,0.208659745,0.211430301
40,0.207659576,0.411267606,0.200683662,0.182676082,0.202302069,0.205855711
41,0.213137746,0.385915493,0.208696901,0.177723651,0.200396741,0.216552633
42,0.207069794,0.408450704,0.205637746,0.180137893,0.197279839,0.205490657
43,0.213374046,0.385915493,0.20574507,0.186584785,0.205238459,0.212228015
44,0.216738561,0.363380282,0.209307887,0.172998528,0.206425806,0.218754917
45,0.216637537,0.352112676,0.212509296,0.197127963,0.216957486,0.221724788
46,0.215262029,0.383098592,0.208148169,0.178843182,0.203926261,0.218003648
47,0.20159156,0.388732394,0.201149859,0.181136928,0.196923572,0.191718104
48,0.217328686,0.383098592,0.200829014,0.189771458,0.213317567,0.217954802
49,0.207775118,0.349295775,0.192905352,0.171745235,0.197896543,0.218349976
,0.201270229,0.315492958,0.192905352,0.166229731,0.193971382,0.191718104
,0.225975419,0.433802817,0.222977746,0.202531727,0.223659667,0.231385281
,0.211815765,0.378253521,0.206497375,0.184528184,0.205942338,0.211330147
,0.001673022,0.006819371,0.00193677,0.002345357,0.001822551,0.002609611
