,0
0,0.9337908280982599
1,0.9054494964421236
2,0.9305046397366787
3,0.8908065287052278
4,0.8945359639222135
5,0.9128842615285645
6,0.8704967348787589
7,0.9065482552844971
8,0.9385577350808648
9,0.908592154240953
10,0.8915523288737183
11,0.9316998818253287
12,0.94182948120799
13,0.8949079068902385
14,0.8849666689075989
15,0.9219406619842594
16,0.9103325538057542
17,0.9100477782750425
18,0.9409841045063448
19,0.8818858136713805
20,0.9235047613466071
21,0.9299060387307656
22,0.9186895061622399
23,0.926124551373167
24,0.8535152528463941
25,0.8854310418540606
26,0.9210403909160526
27,0.9050292784275843
28,0.9190948961999447
29,0.907953494434411
30,0.8879932097361453
31,0.9168645273551175
32,0.9229777888313616
33,0.9130548490029974
34,0.8956454965584918
35,0.9298128869625745
36,0.90080751246355
37,0.9011049314536416
38,0.8955340880642979
39,0.911443463296257
40,0.9137407605260622
41,0.920566021380877
42,0.8947144241894512
43,0.9192527960751009
44,0.9130155517087002
45,0.9254910014999855
46,0.8963739985216254
47,0.9026916379618225
48,0.9271663607235089
49,0.9035057012561032
50,0.9066871534054538
51,0.900106855955849
52,0.9168542972571022
53,0.9197369066126148
54,0.9335624760217565
55,0.885947785931848
56,0.892353333281526
57,0.9078569096272857
58,0.8773283041680193
59,0.9221926066694175
60,0.8952703209849975
61,0.9030820251249873
62,0.9045344421168453
63,0.9154737228464657
64,0.925610201384837
65,0.9355490527169639
66,0.9269826841706155
67,0.9291391264665566
68,0.9249789194517418
69,0.9262386746563365
70,0.877019693033925
71,0.9195111604481059
72,0.9351918111407713
73,0.9145221278010628
74,0.9274587468915981
75,0.920142441473704
76,0.9340657765504996
77,0.890256849781277
78,0.8733258218749679
79,0.889625613073703
80,0.9121240225052796
81,0.9278266143262174
82,0.9446400314546354
83,0.8951880750232138
84,0.894166258827116
85,0.871154047249958
86,0.9280165148739774
87,0.9019210132805139
88,0.9207867062376619
89,0.9037062018041475
90,0.9092594795339318
91,0.8900889709923407
92,0.9051083961417739
93,0.9197709839639188
94,0.9072889755228541
95,0.9106553836005203
96,0.9376470775144342
97,0.9197268238917092
98,0.8746785210629865
99,0.8827100978823285
100,0.9264643500421587
101,0.9201183444529312
102,0.9040762522302611
103,0.9023186719458814
104,0.8831718125920571
105,0.9228028245407988
106,0.9197125731986561
