,log,ada,rf,rsf,cox,WAFT
14,0.7070545230126516,0.6006313940516034,0.7218424363265209,"(0.728035867595154, 30528, 11404, 0, 0)","(0.6918343985500334, 29010, 12922, 0, 0)",0.713748249424387
15,0.6965829327194348,0.5865890265646512,0.703929401674679,"(0.7257215465601743, 31984, 12088, 0, 0)","(0.6928435287711018, 30535, 13537, 0, 0)",0.6941905342270973
16,0.7032677928551647,0.5892527462383458,0.7106526354657067,"(0.7244618667656337, 31233, 11879, 0, 0)","(0.693333642605307, 29891, 13221, 0, 0)",0.6983522569925229
17,0.6987357350637726,0.6280264041172522,0.7171067352875363,"(0.7270845054574097, 32308, 12127, 0, 0)","(0.698931022842354, 31057, 13378, 0, 0)",0.704822107854106
18,0.7079992648579109,0.6062395184819316,0.7029221898044982,"(0.7111342111342112, 30785, 12505, 0, 0)","(0.7003234003234003, 30317, 12973, 0, 0)",0.6982356589859634
19,0.6784325142657506,0.569954582508443,0.6848142541050425,"(0.7015732546705998, 29967, 12747, 0, 0)","(0.6775062040548766, 28939, 13775, 0, 0)",0.689192966111564
20,0.6885399605972133,0.5776187424339528,0.691245935104085,"(0.7224738925182395, 30302, 11640, 0, 0)","(0.6999189356730723, 29356, 12586, 0, 0)",0.6738469937572693
21,0.6886138148304886,0.6421098415385339,0.6925400855785959,"(0.7445964141449932, 31521, 10812, 0, 0)","(0.6845014527673446, 28977, 13356, 0, 0)",0.6913645554144919
22,0.6740631163708086,0.5851303966688582,0.6884067499452114,"(0.7120119921521946, 32299, 13064, 0, 0)","(0.6784604192844389, 30777, 14586, 0, 0)",0.6733618233618234
23,0.6989259342134706,0.5716043857686284,0.7046542850749609,"(0.7263878875270368, 32240, 12144, 0, 0)","(0.6929524152847873, 30756, 13628, 0, 0)",0.7036921011411948
24,0.686277873070326,0.5953001715265867,0.7084505431675243,"(0.7081512489074935, 30789, 12689, 0, 0)","(0.666751000506003, 28989, 14489, 0, 0)",0.6936192109777015
25,0.6848262032085561,0.6246100713012478,0.7036096256684492,"(0.7048805629005512, 31456, 13170, 0, 0)","(0.6737328015058486, 30066, 14560, 0, 0)",0.6898841354723708
26,0.6752118493199459,0.5928220465712455,0.6655035723610815,"(0.6937835580479657, 29073, 12832, 0, 0)","(0.6721870898460804, 28168, 13737, 0, 0)",0.6843504474352584
27,0.7186379928315412,0.5660946141612666,0.6944503785990648,"(0.6988262238763241, 29292, 12624, 0, 0)","(0.7223017463498426, 30276, 11640, 0, 0)",0.7075529920007596
28,0.6741337907375643,0.5865751858204689,0.6827329902801601,"(0.7096640589047399, 30842, 12618, 0, 0)","(0.6789461573861022, 29507, 13953, 0, 0)",0.6877644368210406
29,0.6779031045225051,0.5835750349124503,0.6759909764743797,"(0.7032442129379471, 32537, 13730, 0, 0)","(0.6715153349039272, 31069, 15198, 0, 0)",0.688623912342894
