x0,x1,pre
1.581028668,0.150084454,0.38715428
-0.125717533,-0.162902529,0.2907368
0.441791236,0.633700306,0.3846462
-0.754870714,-0.397987603,0.25414532
1.25093228,0.298981653,0.38582894
-0.464451913,1.607940899,0.40872115
-1.355513284,-1.703592782,0.1870884
-0.198328445,-0.33310003,0.27970672
-1.468614081,1.064473641,0.32661936
0.67653949,-0.308911313,0.31359616
0.795888438,0.513866966,0.38328588
0.024107373,-1.048870707,0.24662408
0.732854549,-0.416023202,0.30890816
0.373866117,1.579618555,0.45302296
-0.821742462,-1.74319673,0.19044606
1.613077742,-0.952886326,0.31329784
-0.467357898,1.362010896,0.4018915
-1.039930609,0.268236147,0.28795588
-0.803329485,0.66781173,0.32245657
-0.692737153,-1.66643212,0.20280254
1.726298638,1.289076198,0.48694438
-0.348321155,1.288135602,0.40161288
0.293680722,-1.5738159,0.2252884
1.604260427,0.27983164,0.40899926
1.579533102,1.702817614,0.49103412
1.260954646,0.808540299,0.43398163
0.274794825,1.616583239,0.4395763
-1.210701945,-0.65504709,0.2276966
1.669110692,1.00416566,0.46806532
1.554280944,-1.66230467,0.25678283
0.937259673,1.127212985,0.4340971
-1.701187597,1.337512774,0.32502058
-1.35247426,0.96090328,0.32528657
1.3137613,-0.237199119,0.34722957
1.021924519,1.675770604,0.4706545
1.443724053,1.415939622,0.482634
-1.052076904,0.477646687,0.3026001
-0.17342252,-0.437433017,0.28111085
-0.110072917,-0.355052173,0.28990757
-1.231567722,1.025916819,0.3365456
-1.309746234,1.48441992,0.36861202
0.625570869,1.114145674,0.42041475
1.297294333,-0.339068863,0.33563977
-1.41300998,-0.371104917,0.2333411
1.626769364,0.183825234,0.39718518
0.881935984,1.098338519,0.44377956
1.104006474,-1.24303081,0.26166394
-1.339738624,-1.032937222,0.21184991
0.141278994,0.701949375,0.37154856
-0.912055128,1.596591502,0.40263903
-0.478163694,-1.08646843,0.22161613
0.89540551,0.492032586,0.39420363
-0.408333111,-1.691384723,0.20463283
-1.391020716,1.267398201,0.3404885
1.479679104,1.21151077,0.47754672
1.295349147,-0.204790959,0.35639873
-0.72381067,-0.055856942,0.2767422
1.347403281,-0.733725396,0.3135991
0.18420054,0.078543223,0.3268142
0.891323715,1.072437271,0.44185022
-1.718450293,-0.860173112,0.21476142
-1.185741725,-1.127374856,0.20377065
0.065161149,-0.122731061,0.29542068
1.227515119,-0.912415418,0.29273784
0.549360079,1.648738207,0.4609845
1.567266883,0.657692998,0.42386743
-0.300174096,-1.701668551,0.20802835
-1.179483917,1.275392303,0.3536252
-1.196239216,1.21009836,0.35510457
1.490282494,-0.801322503,0.31864473
-0.357982916,-0.316772028,0.2675876
1.151176942,0.067334208,0.37318736
0.462602117,-0.626136598,0.28382292
1.11948322,-0.038003241,0.3629303
0.812298002,1.512382488,0.46373484
-0.5922311,1.210544687,0.38794428
1.265654311,-0.0611642,0.35993102
-1.66972141,-0.616417929,0.21693483
-0.312018149,-1.068948705,0.23792246
-1.368587655,0.634596412,0.3084064
-0.206227251,-1.161606015,0.22802283
-1.186748145,0.64761746,0.30246365
-1.541162809,-1.233557123,0.1965811
-1.437827139,1.55756945,0.36052048
1.047113693,0.692682928,0.41386235
-0.630393272,-0.79298823,0.24386701
-0.431104322,-0.227741243,0.2731686
-0.372025305,1.178042113,0.38617447
0.447584455,0.162690275,0.34255886
-0.166478521,1.477452819,0.4244491
-0.809622734,0.966733317,0.3537594
1.015117691,-0.400357996,0.31791303
0.923171151,0.455760383,0.3879333
1.01209702,1.47366296,0.47826418
-1.529156883,0.272018346,0.26570022
0.975812041,-0.845905167,0.2896306
-1.247109356,-0.582012682,0.23306288
-0.548825523,-0.346748321,0.2640932
-1.680518572,1.24027097,0.33475757
0.371353316,-1.247476099,0.2391575
0.791501593,-1.499548576,0.24546424
-0.977669456,1.231295234,0.36490715
-0.719997378,0.779719728,0.34096527
0.589401513,1.073862393,0.42848492
0.666675442,-0.583346349,0.29082295
0.97363589,0.752637393,0.4174875
-0.124348341,-0.658702941,0.26158777
-1.611477602,-0.575380538,0.22759347
1.11500622,1.038173938,0.44634962
-1.09226881,1.156751491,0.349981
-1.092816805,-1.480293061,0.1971354
-0.98734903,0.678491035,0.30899295
-1.550382413,0.935625789,0.31372073
0.207413452,0.495224445,0.36057916
-0.379977719,0.599321203,0.33603495
-1.537920912,-0.447451033,0.2280543
-0.427987212,1.225636821,0.37487057
-1.146703769,-1.586031817,0.19642018
-0.055662792,-1.215786278,0.22635706
-0.278758208,-1.617399347,0.20684503
-0.290519029,1.579056521,0.42111352
0.522573639,0.306444259,0.364838
-1.084947769,-1.729535799,0.191661
-1.396723915,1.264961056,0.3490925
-0.226836855,-0.477121391,0.26306272
-0.828097401,-0.874014712,0.22991456
-0.048005401,0.538130393,0.33735344
1.378724753,0.454063285,0.40471956
-1.063053191,1.403378437,0.372542
-1.186355418,-0.992104419,0.21324788
-1.027369924,0.358974911,0.30143124
1.544337634,-0.465650294,0.33523175
-1.690407693,-1.708401141,0.17934592
0.732621528,-0.740273537,0.28654227
0.292027855,1.139629186,0.41314128
-1.126609466,-0.218200713,0.25618884
-0.636265463,-1.305311307,0.21641137
-0.446409107,0.440392922,0.32360902
-0.442850489,-0.130838764,0.27773738
1.445737235,0.689701177,0.43260917
-0.376858672,0.411839818,0.33001313
-0.153458548,1.47745024,0.42469332
1.031955351,0.44279703,0.3981372
-0.939876299,0.462354179,0.30322233
0.774690913,-0.83067852,0.28227147
0.554695285,-1.237043558,0.24508302
-1.17073669,-1.429421912,0.20033753
0.749605435,-1.232704247,0.25884125
-1.314341215,0.969802177,0.3303403
-1.581899775,0.571024674,0.29033962
-1.7157094,-1.238479363,0.19910175
-1.31939748,-0.423027676,0.23268464
-1.370852779,-0.621415718,0.22389282
-0.385103643,0.477495622,0.31472394
0.112390022,1.023049057,0.3962071
-1.469612125,-0.684590032,0.22688355
0.036066107,-0.986037991,0.24154909
-1.521438391,-0.717544646,0.22126245
