,log,ada,rf,rsf,cox,WAFT
0,0.2208702255324723,0.3420523138832997,0.2097281690140845,0.19397629125699967,0.2215973211623193,0.2305698190931678
1,0.21295249894702706,0.33601609657947673,0.2163573440643863,0.1948341787896595,0.21605360272610818,0.23497348254511852
2,0.2213385104234679,0.3702213279678067,0.22190945674044263,0.2044284654438896,0.22257235768601724,0.20504642987366772
3,0.22302303536626414,0.36820925553319905,0.2225456740442656,0.1998141794723817,0.2168108278493694,0.23979744404200004
4,0.20870379825832297,0.3762575452716297,0.20950140845070425,0.18843888302705666,0.2075789437190485,0.25095003539202887
5,0.2101856519904308,0.37424547283702203,0.20710080482897386,0.1882690953473698,0.20793431675278426,0.2378457315149375
6,0.20895528148202233,0.40241448692152904,0.20530221327967807,0.1770890381540143,0.2081369225301124,0.25183725136732016
7,0.21620009497368706,0.3601609657947685,0.20804406438631792,0.18639025213918672,0.21295155515928646,0.23412464843096925
8,0.22112650933843767,0.3903420523138832,0.21264144869215293,0.19752817302787057,0.22406011067997078,0.2278022497457119
9,0.20982586598300337,0.3963782696177061,0.2101219315895372,0.17498821388262886,0.20631489062939762,0.23122694080386447
10,0.21240280851924984,0.3983903420523138,0.20400342052313886,0.18958478995915648,0.2123343755173573,0.21374940076166374
11,0.21165313174975317,0.37424547283702203,0.20973561368209254,0.19210667717999944,0.20763424202632544,0.264526258550022
12,0.20957326088997852,0.37223340040241437,0.20717826961770625,0.18200510081825103,0.20508496454976796,0.2512725249018607
13,0.21646635469422038,0.40241448692152904,0.21586659959758553,0.20470610401872483,0.21864278295707887,0.22339946102594588
14,0.21346745953170743,0.37223340040241437,0.20857203219315898,0.1946801305039158,0.21562873232420485,0.21111853458487526
15,0.20995860388724674,0.40643863179074435,0.21521287726358151,0.19108889716883168,0.2105531536336734,0.22489910807186586
16,0.21039221113445367,0.3822937625754526,0.19088752515090543,0.17013335065951266,0.2057453259586366,0.20951072444932461
17,0.21164481095469162,0.3762575452716297,0.20618531187122735,0.19227862276678892,0.21169763542192555,0.21713939806592258
18,0.21425815445552318,0.4124748490945673,0.21421911468812876,0.20237865258797139,0.21504703684147786,0.25088456161016653
19,0.21136347970443142,0.37223340040241437,0.20921629778672032,0.18843820746594778,0.21348135255999176,0.2232508683931426
20,0.20963264489958694,0.3762575452716297,0.20190503018108652,0.185954386254884,0.20878891184526063,0.29494596146725954
21,0.2162183497440821,0.38430583501006027,0.21454728370221327,0.18175151328185157,0.20680345547789006,0.25396700571869707
22,0.21811572399352516,0.42052313883299786,0.2205979879275654,0.1888781566063045,0.21403052350843838,0.22732312448149986
23,0.21601057809445495,0.3963782696177061,0.21149778672032193,0.20124897526126084,0.21410388997736834,0.20534797465899166
24,0.21030870456844672,0.3601609657947685,0.1948953722334004,0.17431767095220604,0.20694346520752585,0.218153598961513
25,0.21418181018602445,0.3903420523138832,0.20277142857142857,0.1910942478402372,0.21465427610605173,0.2423417603727414
26,0.21507066570220712,0.34808853118712263,0.21149657947686115,0.18405355476099763,0.2077588049462307,0.2645393391619786
27,0.21207119565945431,0.3863179074446679,0.21346519114688128,0.19219695244807403,0.21033948683472906,0.25555614436518165
28,0.21376697625419205,0.3601609657947685,0.21119496981891347,0.18405676705805143,0.20072586485195457,0.24419969743049852
